id,course1,marker1,course2,marker2,course3,marker3,course4,marker4,total
958,76,无,82,无,0,无,84.07,无,80.01
959,79,蔡军,79,蔡军,90,蔡军,90,蔡军,85
960,69,无,78,无,0,无,86.5,无,76.1
961,72,无,90,无,0,无,86.36,无,82.07
962,71,无,79,无,0,无,89.29,无,77.86
963,52,无,70,无,0,无,83.79,无,65.56
964,79,无,90,无,0,无,91.71,无,85.94
965,64,无,79,无,0,无,84.57,无,74.11
966,0,无,0,无,89.5,无,90.5,无,90.3
967,0,无,0,无,0,无,84.38,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,84.38
968,60,无,81,无,0,无,84.93,无,73.39
971,0,无,0,无,83.43,无,85.57,无,85.14
972,0,无,0,无,88.29,无,86.71,无,87.03
973,73,无,79,无,0,无,88.79,无,78.56
975,76,无,80,无,0,无,87.29,无,79.86
976,80,无,89,无,0,无,86.36,无,84.87
977,75,无,82,无,0,无,88.07,无,80.41
978,85,无,91,无,0,无,88.5,无,88.1
979,0,无,0,无,92.57,无,88.43,无,89.26
980,79,无,84,无,0,无,86.79,无,82.56
981,0,无,0,无,86.29,无,89,无,88.46
982,69,无,79,无,0,无,88.29,无,76.86
983,59,无,86,无,0,无,85.29,无,75.06
985,66,无,86,无,0,无,85.36,无,77.87
986,67,无,84,无,0,无,85.43,无,77.49
987,80,无,79,无,0,无,84,无,80.4
988,0,无,0,无,88,无,91.67,无,90.93
989,78,无,80,无,0,无,88.57,无,80.91
990,60,无,86,无,0,无,81.5,无,74.7
992,78,无,92,无,0,无,91.29,无,86.26
994,87.2,孙淼、王毅、张盼、李馨、王,87.8,孙淼、王毅、张盼、李馨、王,88.6,孙淼、王毅、张盼、李馨、王,90.2,孙淼、王毅、张盼、李馨、王,88.45
995,71,无,80,无,0,无,86,无,77.6
996,0,无,0,无,92.57,无,93.14,无,93.03
997,61,无,83,无,0,无,84.57,无,74.51
998,0,无,83,尹跃莉,0,无,85.4,尹跃莉，常智怡，许晨新，曾会宇，晁跃,84.68
999,0,无,0,无,0,无,87.9,张毅等,87.9
1000,75,无,90,无,0,无,88.86,无,83.77
1002,69,无,87,无,0,无,83.14,无,79.03
1003,0,无,0,无,86.17,无,88.33,无,87.9
1004,66,无,79,无,0,无,85.86,无,75.17
1005,0,无,0,无,89.29,无,91,无,90.66
1007,75,无,91,无,0,无,85.64,无,83.53
1008,91,无,0,无,83.75,无,88.3,无,88.45
1009,86,无,82,无,0,无,88.79,无,84.96
1010,73,无,87,无,0,无,88.57,无,81.71
1011,88,无,79,无,0,无,87.79,无,84.36
1012,71,无,83,无,0,无,0,无,61.6
1014,75,无,90,无,0,无,89.64,无,83.93
1015,72,无,83,无,0,无,89.21,无,79.84
1016,84,无,87,无,0,无,87.07,无,85.81
1019,69,无,82,无,0,无,90.93,无,78.59
1020,88,无,86,无,0,无,91.86,无,87.97
1022,72,无,88,无,0,无,93.43,无,82.69
1023,0,无,90,李翅,0,无,88.2,钱莉,89.1
1024,70,无,83,无,0,无,83.93,无,77.99
1026,0,无,0,无,89.29,无,89.57,无,89.51
1027,78,无,74,无,0,无,86.36,无,78.07
1029,38,胡冬,0,胡冬,18.3,张金凤,36.7,李莉,93
1033,74,无,86,无,0,无,89.64,无,81.93
1034,0,无,0,无,0,无,87.2,王兰、侯澎、张英、张洋,87.2
1035,0,无,89,李翅,0,无,85.9,钱莉,87.45
1036,68,无,85,无,0,无,87.57,无,78.71
1038,78,无,80,无,0,无,83.5,无,79.9
1039,56,无,70,无,0,无,84.21,无,67.24
1042,0,无,0,无,91.57,无,89.71,无,90.09
1043,0,无,0,无,0,无,86.63,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,86.63
1044,82,无,72,无,0,无,84.36,无,78.47
1046,0,xx经理然科,0,xx经理然科,0,xx经理然科,0,xx经理然科,0
1047,74,无,80,无,0,无,85.5,无,78.7
1048,35.56,xx培育然科教师,17.53,xx培育然科教师,16.44,xx培育然科教师,18.5,xx培育然科教师,88.03
1049,0,无,0,无,89.29,无,89.29,无,89.29
1050,80,无,84,无,0,无,87.5,无,83.1
1051,0,无,0,无,0,无,91,张毅等,91
1052,0,无,0,无,87.67,无,89.17,无,88.87
1053,0,无,0,无,88.71,无,90.71,无,90.31
1054,0,,0,,0,,87.58,王兰、侯澎、张英、张洋,87.58
1055,70,无,88,无,0,无,88.29,无,80.86
1057,0,无,0,无,0,无,94,侯方淼，郭军，秦光源,94
1058,88.375,田治强,0,,0,,0,,0
1060,85,无,0,无,72.75,无,87.4,无,83.51
1061,23.2,闫磊,23,赵健,24.1,肖桓平,23,唐源,93.3
1062,0,无,66,柴焕锁,0,无,91,李芝 姚小凯 祖莉,78.5
1064,64,无,78,无,0,无,83.21,无,73.44
1065,23,闫磊,22,赵健,21,肖桓平,23,唐源,89
1066,0,无,0,无,0,无,0,温舟、张晨、李强、贺超、米锋、姜艳、吴源,0
1068,0,无,0,无,89.57,无,89.14,无,89.23
1071,0,,0,,0,,0,,0
1076,55,史宝 张艳芳,0,无,68.3,段克勤 刘笑睿 崔信跃,88,李芝 姚小凯 祖莉,70.83
1078,21.7,闫磊,24,赵健,23,肖桓平,22,唐源,90.7
1080,76,无,83,无,0,无,86.79,无,80.96
1083,31.2,孙世瑕,6,项晶茹,7,项晶茹,37.25,金宇宇,81.45
1085,0,无,0,无,78,王晨逸、于畅,88,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,85
1089,0,无,0,无,0,无,89.57,温舟、张晨、李强、贺超、米锋、姜艳、吴源,89.57
1092,64,无,84,无,0,无,90.21,无,77.24
1093,70,无,85,无,0,无,87.57,无,79.51
1094,23.1,闫磊,22.2,赵健,24,肖桓平,23.4,唐源,92.7
1095,78,丁梁,0,丁梁,89.8,丁梁,93,丁梁,86.36
1096,78,无,91,无,0,无,92.86,无,86.17
1097,0,无,0,无,0,无,0,无,0
1098,67,无,89,无,0,无,85.5,无,79.5
1100,0,无,0,无,84,王晨逸、于畅,84,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,84
1101,0,无,0,无,0,无,87.38,田治强 李小勇 曹茹 陈凯 李利茹 樊昆 张洋 张英,87.38
1102,73,无,81,无,0,无,89.21,无,79.44
1105,32,孙世瑕,9,项晶茹,9,项晶茹,29,金宇宇,79
1110,0,无,0,无,83,无,82.33,无,82.47
1116,61,无,70,无,0,无,86.29,无,69.66
1117,0,无,28,李冬,24.4,杨刚 孟伟 张海燕 淮永,38.67,孟伟 张海燕 淮永,91.07
1119,34.96,xx培育然科教师,17.44,xx培育然科教师,15.2,xx培育然科教师,17.8,xx培育然科教师,85.4
1122,0,无,0,无,0,无,80,吴源，温舟，张晨，李强，姜艳,80
1125,78,无,72,无,0,无,81.5,无,76.3
1128,81,无,86,无,0,无,91.93,无,85.19
1130,75,丁梁,0,丁梁,84.2,丁梁,89.6,丁梁,82.68
1132,33.4,魏利,8.42,魏利,8.37,魏利,34.68,魏利,83.87
1136,0,无,0,无,0,无,0,无,0
1137,85,胡淼夫,0,时昆等,76.67,时昆等,76.67,时昆等,79.45
1138,84,胡淼夫,0,时昆等,74.33,时昆等,81,时昆等,79.78
1142,0,刘艳,0,刘艳等,0,刘艳等,0,刘艳等,0
1145,78,无,89,无,0,无,89.64,无,84.73
1147,0,无,0,无,74.5,无,75.2,无,75.06
1149,0,无,0,无,89.43,无,88.14,无,88.4
1152,0,无,0,无,90.43,无,90,无,90.09
1153,0,无,88,李翅,0,无,87.8,钱莉,87.9
1156,0,无,0,无,89.43,无,89.57,无,89.54
1158,0,无,0,无,0,无,89.33,王兰、侯澎、张英、张洋,89.33
1160,81,无,79,无,0,无,91.29,无,82.26
1164,0,无,0,无,92,王晨逸、于畅,91.67,田宇利、吴红艳、万璐、潘焕然、秦英涛、顾冰松、张堇逸、庞新仁、安欣,91.77
1169,82,胡淼夫,0,时昆等,73.33,时昆等,81.67,时昆等,79
1171,0,无,0,无,0,无,0,"田治强	张岩	王炜	周欣	李颖	孙凤	何玥",0
1172,0,无,0,无,0,无,94,吴源，温舟，张晨，李强，姜艳,94
1180,92.8,孙淼、王毅、张盼、李馨、王,93.2,孙淼、王毅、张盼、李馨、王,92.4,孙淼、王毅、张盼、李馨、王,92.6,孙淼、王毅、张盼、李馨、王,92.75
10000,32.4,孙世瑕,8,项晶茹,8,项晶茹,34.25,金宇宇,82.65
10001,85,丁梁,0,丁梁,85.6,丁梁,90.2,丁梁,87.2
