,uid,project
311,221.0,《野生铁核桃全产业链技术升级》过营销模式的创新研究，解决了云南香格里拉地区野生铁核桃资源丰富，可利用价值高，但外销品中以初级加工产品为主，后续深加工产品的研发滞后，产品附加值低的问题。省市级
312,222.0,nannannan
313,223.0,nannannan
314,224.0,nannannan
315,225.0,土壤水分胁迫对观赏植物的生理特性和生命的影响本项目正在进行中其他
316,226.0,乡村振兴背景下海南岛传统村落空间分布及驱动力研究2018年12月以《乡村振兴背景下的海南岛传统村落空间分布及其驱动力研究》获得2018第八届艾景国际园林景观规划设计大会优秀论文；并获得海南大学挑战杯校内选拔赛三等奖。其他
317,226.0,文化传承视角下，平遥古城风貌保护的探究2018年12月以《文化传承视角下，平遥古城风貌保护的探究》，获得海南大学暑期社会实践活动优秀调查报告二等奖其他
318,227.0,nannannan
319,228.0,nannannan
320,229.0,nannannan
321,230.0,基于绿地生态系统服务的城市居民生态福祉提升路径研究1、使用多个微观指标，将人类福祉这宏观的指标以多个不同的特征点来进行讨论，并采用统计手段解释了城市绿地功能对居民福祉的影响以及对于生态福祉各指标的满意度。2、完成结题报告书与结题总结3、培育团队成员创新能力及科研素养国家级
322,232.0,北京大学国发院CHARLS项目nannan
323,233.0,中国主要城市公共空间日语规范化问题研究有效收集整理国内日本游客量较大的城市和地区代表性公共空间的日文标识语使用情况。对国内公共空间日语使用规范化进程的推进做出贡献，对规范使用外语进行更好的倡导，以优化城市及国家形象。国家级
324,234.0,从多模态话语分析视角看中外手机品牌的视频广告差异其在海外投放广告的效果，进而提升宣传效果，帮助更多品牌“走出去”，并提升“中国智造”的影响力国家级
325,235.0,外卖服务在大学校园食堂的应用研究论文《外卖配送服务在大学校园食堂的应用研究》在核心期刊《金融经济》上刊登，并完成高校师生网订外卖影响因素分析报告一份、结题报告一篇。其他
326,235.0,林统党支部“红色1+1”社会实践活动本次社会实践活动获得暑期社会实践三等奖。其他
327,236.0,一花一木生态园林规划设计工作室  一花?一木生态园林规划设计工作室成型其他
328,237.0,北京不同立地下栓皮栎外生菌根真菌多样性比较研究1、不同立地栓皮栎林每木检尺数据2、各区域土壤理化因子如土壤pH、土壤容重、土壤含水量、土壤有机质等数据并制表3、各区域外生菌根真菌在OTU和属水平上的组成图及区域间差异对比4、各区域外生菌根真菌多样性差异与环境因子之间的关联并制图5、分析不同立地栓皮栎外生菌其他
329,238.0,nannannan
330,241.0,nannannan
331,242.0,诫子学院-面向农村的素质教育机构诫子学院已在廊坊市的一个农村成功举办，此项目也荣获第四届河北省互联网大赛省级铜奖省市级
332,243.0,nannannan
333,244.0,科技金融支持现代农业发展研究 这一基本事实展开。通过问卷分析，实地调研的结果，试图运用经济金融学原理，分析在这一过程中所存在的实际问题，并寻找这些问题产生根源，从现代化农业经营主体金融资源承载能力、加快金融机构信贷产品和服务创新、健全金融支农机制建设等多个角度提出建议。其他
334,244.0,科技金融支持现代农业产业发展及路径研究研究对象为农业科技金融中介服务机构，立足于目前现状，结合政府提出加快实现农业现代化时代背景，分析存在的问题和挑战，为发展中介机构提出对策建议。其他
335,245.0,"""干物语""SIPT计划项目第二作者身份在《中国新通信》上发表论文其他"
336,246.0,“三下乡”暑期社会实践活动调查报告一篇，获得校级一等奖，发表论文一篇《宁夏彭阳县城阳乡农民职业技能培训现状调查与分析》其他
337,247.0,nannannan
338,249.0,nannannan
339,251.0,nannannan
340,254.0,你会先看到什么——心之所向还是金钱至上一项国家级大学生创新项目国家级
341,255.0,nannannan
342,256.0,nannannan
343,257.0,nannannan
344,258.0,郑开历史文化类研学旅行产品的开发研究 ，课题组编制了三份报告：《郑开历史文化类研学旅行产品设计报告》 、《郑开历史文化类研学旅行市场调查与分析》 、《郑开历史文化类研学旅行产品的开发研究总结报告》省市级
345,258.0,河南大学大学生创新创业训练计划项目《郑开历史文化类研学旅行产品的开发研究》报告一份其他
346,259.0,苏宁易购2018年度财务报表分析形成了以《苏宁易购集团股份有限公司2018年财务报表分析》为题的论文和科研报告，但论文尚未发表。省市级
347,259.0,云实验服务平台形成云实验服务平台项目策划书，目前该平台处于研发阶段。省市级
348,260.0,经验启动对道德概念重量隐喻的影响的ERP研究行为结果显示，道德概念中存在重量隐喻表征。道德概念垂直空间隐喻的经验启动对道德概念重量隐喻具有调节效应。ERP结果还在进一步分析与解释中，已经发现N1、P300、N400成分。其他
349,260.0,北京师范大学研学提高了研究素养。其他
350,261.0,nannannan
351,262.0,nannannan
352,263.0,石家庄“汉德宜”手帕有限责任公司1.创业计划书2.河北省“互联网＋”创新创业大赛省级铜奖国家级
353,263.0,河北省太行山区六次产业融合发展提升路径分析 河北经贸大学公共管理学院 创新创业立项大赛一等奖其他
354,263.0,农村土地托管现状及农民参与意愿影响因素分析调查报告：《农村土地托管现状及农民参与意愿影响因素分析——基于石家庄市鹿泉区的调查研究》其他
355,263.0,乡村振兴战略下板栗期货的可行性探究期刊论文《乡村振兴战略下板栗期货的可行性探究——以青龙满族自治县为例》省市级
356,263.0,中小型企业开拓国际市场初期风险规避及积极影响期刊论文《中小型企业开拓国际市场初期风险规避及积极影响——以玉田县印机企业为例》国家级
357,265.0,nannannan
358,266.0,论文《我国钢铁业遭遇反倾销的研究》发表于《消费导刊》2019年第27期国家级
359,267.0,nannannan
360,269.0,企业互联网营销IP形象策划设计本项目服务于江苏华泰生态园产品——梨产品，满足艺术内容在新媒体方面的传递需求，从梨的形象入手，针对艺术内容特点，设计符合艺术内容传播的产品角色和动画作品，升华企业文化，实现产品的跨界增值。省市级
361,270.0,第十届园冶杯大学生国际竞赛竞赛获奖国家级
362,270.0,关于2018年“乡村稼穑情?振兴中国梦”专项社会实践。2018年“乡村稼穑情?振兴中国梦”全国农科学子聚力乡村振兴全国大学生暑期社会实践专项行动优秀团队铜奖。其他
363,270.0,基于植物多样性的城市水体景观营造方法探讨第一作者发表《基于植物多样性的城市水体景观营造方法探讨》《设计》2019第2期（SCD）其他
364,270.0,.关于生态宜居美丽乡村建设的调查与思考重点把握乡村清洁环境引导与群众自发设计，在资金的支持下，通过问题提出与分析，以期为襄州区美丽乡村的发展提供参考。其他
365,270.0,浅析古典园林中的音乐艺术元素第一作者发表《浅析古典园林中的音乐艺术元素》	《大众文艺》2019第5期（SCD）其他
366,270.0,实用新型专利（受理中）本实用新型所要解决的技术问题就是针对现有技术中的立体绿化绿植存活周期短，需土量大、自重较大，后期维护成本高、维护难度大等缺陷。提供一种轻质景观用绿植种植装置以解决上述问题。其他
367,270.0,《“金陵新四十八景”调查及其数字化构建》nannan
368,271.0,合肥工业大学大学生创新创业计划1. 研制产品若干2. 编写图库一本3. 拟计划申请专利一项其他
369,271.0,大学生暑期三下乡实践活动调研报告、实践日记、视频、新闻通讯稿等若干其他
370,272.0,nannannan
371,273.0,nannannan
372,274.0,nannannan
373,276.0,喜马拉雅特有植物鬼吹箫的培育及优良单株筛选发表论文一篇，即Study on the Cutting Propagation Technique of Himalayan Leycesteria formosa Wall.Twigs申请发明型专利一项，即一种提高风吹箫（鬼吹箫）扦插育苗成活率的方法技术，第二发明人培育鬼吹箫扦插苗上千株，已应用到学校园林绿化中省市级
374,276.0,西藏自治区园林特色专业建设举行一届西藏大学农牧学院园林作品展省市级
375,276.0,西藏药用观赏植物收集与利用发表论文四篇通过相应的培育技术，获得西藏红豆杉上百株，获得锐齿凤仙花上百株，获得多肉植物石莲上百株，获得多蕊金丝桃几十株，获得藏波罗花上百株，获得岩白菜上百株，获得西藏鹿蹄草上百株，获得黄花木上百株，获得鬼吹箫上千株，等省市级
376,277.0,nannannan
377,278.0,nannannan
378,279.0,nannannan
379,280.0,基于室内环境实用景观小场景设计通过调研以发表论文的形式从理论上论述室内小型景观的功能性以及在不同空间中的不同布局所起到的不同作用。以手绘的方式表达出在不同空间内小型实用绿植景观等不同的布局与规划所产生的不同效果。其他
380,280.0,基于室内环境实用景观小场景设计2通过调研以发表论文的形式从理论上论述室内小型景观的功能性以及在不同空间中的不同布局所起到的不同作用。以手绘的方式表达出在不同空间内小型实用绿植景观等不同的布局与规划所产生的不同效果。省市级
381,281.0,我国主要林区林地立地质量和生产力评价研究通过优化求解得到基准年龄时蓄积连年生长量最大值，形成各生长过程组蓄积潜在生产力表。省市级
382,281.0,余生有榆获得第四届河北省“互联网+”大学生创新创业大赛省铜奖省市级
383,282.0,拟南芥隐花色素CRY2对生物钟蛋白PRR5稳定性的影响暂无省市级
384,282.0,SCInannan
385,283.0,呼和浩特居民节能减排行为及潜力社会调查参加了校级大学生创新实验计划项目其他
386,283.0,防爆壶塞发表实用新型专利其他
387,284.0,nannannan
388,285.0,《智汇滇越，忆乡为媒—以滇越铁路云南段为例》立项，完成文献梳理，完成昆明—河口调研并撰写报告，提出昆明段改造策略，撰写相关论文，中期检查评优。省市级
389,285.0,《基于SD法探究铁路织补理论对城市的综合影响》完成论文（8000字）省市级
390,285.0,《普洱城市文化形象研究》完成普洱市及九县县徽设计和文字撰写，待出版。省市级
391,285.0,《构成设计在中国传统文化产品设计中的应用》完成文献整理，设计茶果形式30余个，并取得市场的一定认可。省市级
392,285.0,《垂直生长·深圳—南头古城更新设计》绘制图纸，编写设计说明文本省市级
393,285.0,《城市引力—柳梢堰城市公园生态修复设计》绘制图纸，编写设计说明文本省市级
394,286.0,北京科技金融与企业创新绩效的耦合协调研究《新财经》科技金融对科技型中小企业创新绩效的影响——以北京市中关村示范区为例 胡璇钰，刘檬，张倩其他
395,287.0,nannannan
396,288.0,柳杉毛虫两种蛹寄生蜂对寄主资源利用的时空格局研究掌握平背囊爪姬蜂与松毛虫凸腿小蜂对柳杉毛虫的最适寄生龄期，成蜂在寄主蛹中的产卵时间利用策略，以及对寄主产卵的空间利用策略；初步了解幼虫发育的物候、空间适应策略以及它们的形态、习性与适应策略；初步探明松毛虫凸腿小蜂在寄生蛹中的寄生体系的原理机制。省市级
397,289.0,nannannan
398,290.0,nannannan
399,291.0,半导体矿物光生电子对南方红壤区稻田土壤呼吸的影响投稿阶段其他
400,291.0,高寒草甸天然牧草地不同退化阶段土壤酶活性变化规律无其他
401,292.0,nannannan
402,293.0,nannannan
403,294.0,nannannan
404,295.0,河北大学“三下乡”暑期实践活动准予结项其他
405,296.0,nannannan
406,297.0,吉林省抗日遗址分布与地理环境关系研究论文：吉林省抗日遗址分布与地理环境关系研究省市级
407,298.0,2018大学生创新训练项目省级良好结项。省市级
408,298.0,2019大学生创新训练项目省级立项。省市级
409,298.0,2018年河北省大学生“调研河北”社会调查活动省级一等奖省市级
410,298.0,2018年河北省大学生“调研河北”省级二等奖。省市级
411,298.0,2019年“挑战杯”课外学术科技作品竞赛校级三等奖。其他
412,299.0,2017麻省理工责任地产工作坊针对“里院改造”这一课题进行作业其他
413,299.0,墨幻号概念游艇室内设计获得山东省船艇设计大赛三等奖省市级
414,300.0,调研河北-邯郸部分地区农村生活污水处理调查获2018年河北省大学生“调研河北”社会调查活动立项。将调研成果及可行性建议上交到有关组织，希望我们的调研活动能为使已有新农村建设生活污水处理理论得到深化与补充，对美丽乡村建设起到一些有利的作用。省市级
415,301.0,大学生创新创业训练计划项目此项目经评审准予结题。其他
416,302.0,益行河北，助善市营准予结项其他
417,302.0,推广大名特色烧鸡，助力大名扶农脱贫本人带队参加第九届全国大学生电子商务“创新、创意及创业”挑战杯和大学其他
418,303.0,nannannan
419,304.0,“安而养”高校食堂健康养生餐饮项目主打养生餐饮，三个系列产品包括养生、减肥、经期共同发展，并研制出菜单；线下产品与线上服务结合，为大学生健康全方位护航。其他
420,304.0,2017年暑期大学生社会实践活动开展面对面访谈，并提交一份详细的校友访谈报告。其他
421,305.0,江苏大学大学生创新创业训练计划—儿童笔筒的创新设计儿童笔筒的创新设计其他
422,306.0,文昌市旅游资源普查及旅游业发展战略规划获得政府支持并认可省市级
423,306.0,海南省昌江黎族自治县王下乡文旅项目策划nannan
424,307.0,nannannan
425,308.0,双一流高校建设时期在校大学生如何创新践行生态文明2018.05-2019.05 大学生创新创业项目，已结题并发表论文《“双一流”高校建设时期在校大学生如何创新践行生态文明》于《西部素质教育》。其他
426,308.0,北方地区厕所革命生态筑梦工程2019.04-至今 互联网+大学生创新创业项目“北方地区厕所革命生态筑梦工程”，进展中。其他
427,308.0,招贤纳士微信小程序“招贤纳士”参与研发、功能探索及UI设计，目前开发版已上线。国家级
428,308.0,城市园林景观设计中现代设计理论的应用论文《城市园林景观设计中现代设计理论的应用》，第一作者发表于《美与时代》城市版。其他
429,308.0,中国传统文化元素在现代园林景观设计中的应用探究论文《中国传统文化元素在现代园林景观设计中的应用探究》，第一作者发表于《居业》。其他
430,309.0,nannannan
431,310.0,《浅谈美国俚语及其翻译方法》发表于国家级期刊《新东方英语》上。国家级
432,310.0,安鑫储物柜以“优秀”成绩结项。其他
433,312.0,《光肩星天牛不同寄主抗性初探》发表论文省市级
434,312.0,《长春菜市场中26种蔬菜硝酸盐含量测定》发表论文省市级
435,313.0,乡村振兴背景下的社会创业模式研究发表了两篇论文，撰写了一篇调研报告省市级
436,313.0,高等院校体验式教育现状和受众教育需求发表了一篇论文，撰写了一篇调研报告其他
437,314.0,nannannan
438,315.0,nannannan
439,316.0,高等院校体验式教育现状和受众教育需求发表论文一篇其他
440,316.0,乡村振兴背景下的社会创业模式研究发表论文两篇省市级
441,316.0,保定市创新型县、特色科技小镇建设论文若干篇，安国市创新发展规划省市级
442,317.0,nannannan
443,318.0,nannannan
444,319.0,数字游戏研究国际会议上发表长摘要数字游戏研究国际会议上发表长摘要《A Serious Game Integrates Immersive Game Experience and AIDS Intervention》制作HIV游戏demo其他
445,319.0,《浅谈克里斯托弗诺兰的叙事艺术》论文《浅谈克里斯托弗诺兰的叙事艺术》收到大众文艺刊用通知其他
446,319.0,建立gameuser网站翻译外国游戏设计理论建立gameuser网站翻译外国游戏设计理论其他
447,320.0,”北京市平谷区重大项目稳定性风险评估研究“《实地调查计量分析》省市级
448,320.0,京津冀地区森林康养主题田园综合体市场调研已发表论文其他
449,320.0,“技术革命与城市化”个人负责：文字的加工处理、文章内部的框架结构图其他
450,320.0,“基于实验经济学的住房信息市场机制设计与运行”《上市物业服务企业股权结构特征研究》，被世界华人不动产学会 2019 年年会正式接收，论文在投中国家级
451,322.0,nannannan
452,323.0,传统文化视阈下的中国品牌营销策略研究——故宫淘宝店发表论文《传统文化视阈下的品牌营销研究—以“故宫淘宝店”为例》论文发表在国家级期刊《文化研究》。国家级
453,323.0,“内容赋能+社群激发”内容营销对消费者品牌忠诚度的发表论文一篇《社群经济背景下内容营销对消费者品牌忠诚度的影响研究—以网易云音乐为例》论文发表于吉林大学主办《经济视角》杂志。国家级
454,325.0,河北省人力资源社会保障课题 “以农民满意度为导向的发表结项论文，成果结项。省市级
455,325.0,保定市哲学社会科学规划课题 “基于城乡协同发展的我发表结项论文，成功结项。省市级
456,325.0,大学生创新创业训练计划项目 “黄骅港中小物流企业风发表结项论文，成功结项。其他
457,326.0,nannannan
458,328.0,nannannan
459,329.0,nannannan
460,330.0,nannannan
461,331.0,nannannan
462,332.0,河北太行木制品有限公司该校级大学生创新创业训练项目已于2019年7月完成结项其他
463,332.0,荷木科技—户外超疏水木材专家制作出了简单超疏水户外家具，并获得第五届互联网+大学生创新创业大赛省级铜奖省市级
464,333.0,国家级大创——“苔藓状萼片”新品种月季的选育待发表论文一篇，初步培育具有苔藓状萼片性状的新品种国家级
465,333.0,论文《黄冠梨PbpNCED3基因的克隆与表达》nannan
466,333.0,发表文章《月季的前世今生》《中国花卉盆景》杂志（2016.03）发表文章《月季的前世今生》，阐述了月季的演化过程，现代月季的产生过程和历程。国家级
467,333.0,发表文章《我的第一次月季杂交尝试》《中国花卉盆景》杂志（2017.10）发表文章《我的第一次月季杂交尝试》国家级
468,333.0,413玫瑰园将宿舍楼前的荒地改造成花园，并举办花展，成为了宿舍楼区一道亮丽的风景线其他
469,334.0,六盘山生态移民迁出区不同植被恢复发表论文2篇国家级
470,334.0,灵武长枣种植园区施肥配方的研究项目顺利结题其他
471,335.0,nannannan
472,336.0,省级创新创业项目“老伴儿”医助服务平台完成报告“老伴儿”空巢助医公益产业调查研究。省市级
473,337.0,nannannan
474,338.0,nannannan
475,340.0,nannannan
476,341.0,nannannan
477,342.0,nannannan
478,343.0,nannannan
479,344.0,nannannan
480,346.0,关于“途牛旅行网”的商业计划与分析一等奖其他
481,346.0,大股东减持行为的尺蠖效应研究《大股东减持行为的尺蠖效应研究——基于乐视网大股东减持案例的分析》（独立作者）其他
482,347.0,构建社区认同的“共享社区”公共空间设计调研发现影响社区公共空间使用的主要因素是社区各类居民融合度低，社区居民人口结构变化特征、各类人群日常生活轨迹以及对于公共服务的差异化需求。项目最终提出社区公共空间的微更新方案，对试点小区某空地进行设计同时撰写论文为分析相似社区的类似问题提供方案。省市级
483,347.0,“云端花宴”（上海国际花展）通过“云”状的装饰物，以上海师大园艺专业“云数据”和“云资源”作为技术支持，通过“落花纷漠漠、绿叶寄深水、浮云伴花叶、春风共沉醉、云端花盛宴”等景点布局构成以白色和绿色为基调的景点空间。获未来园艺设计师景点类最高奖项铂金奖。国家级
484,347.0,生态灯经过长达一年的实验，保证其他条件尽量相同的情况下对植物适应光照、长势、叶片情况（颜色、大小、厚度）等因素进行验证，筛选出多肉植物的二十多种品质（如虹之玉、黑法师、熊童子、火祭等），与相关灯具生产厂家合作，制作出“生态灯”样品。省市级
485,348.0,nannannan
486,349.0,《苏州城区绿色基础设施研究》调查报告其他
487,350.0,"“挑战杯""论文撰写对本专业在三农问题中发挥的作用得到进一步认识国家级"
488,351.0,山东财经大学“三千计划”暑期社会实践实践调研报告其他
489,352.0,气相臭氧氧化协同吸收烟气脱硫脱硝实验研究本项目旨在研究一种新的技术，并发表相关论文以及申请相应的专利技术。项目进行中，还未出相应成果。省市级
490,352.0,天津市城市绿地土壤污染特征研究调研报告一篇其他
491,353.0,nannannan
492,354.0,nannannan
493,355.0,循经冥想干预大学生抑郁情绪已发表论文《循经冥想干预大学生抑郁效果分析》，投稿至中文核心期刊《中国全科医学》。省市级
494,356.0,计算机辅助三维造型中的力觉交互技术研究论文《虚拟雕刻技术在人物模型设计中的应用研究》和《后现代主义风格在GNSS电离层监测仪改良设计中的研究》，实物力觉交互器省市级
495,356.0,北京微度科技公司“爱丽分”智能垃圾分类回收系统饮料瓶回收主机以及可定义副机其他
496,356.0,北京博创联动科技有限公司车载显示设备造型设计车载显示设备其他
497,357.0,我国食品产业链安全风险防控的制度成本降低路径的研究目前已经通过数学统计方法构建食品企业信用评价体系的论文一篇，正在投稿中。国家级
498,357.0,冬奥会对张家口市经济高质量发展的影响分析及对策研究调研报告一份获得2018年河北省“调研河北”大学生社会调查活动省级二等奖与2019年“挑战杯”全国大学生课外学术科技作品竞赛校级三等奖其他
499,358.0,nannannan
500,359.0,nannannan
501,360.0,nannannan
502,361.0,热情-能力特质标签、面孔吸引力对择偶偏好的影响学年论文答辩评级为优秀其他
503,361.0,农村婚姻市场背景下青年婚姻稳定性影响因素探究nannan
504,361.0,大学生专业认同度对学业成绩的影响：心理资本的中介作2019 年河北大学实验室项目立项，待结项。项目论文投稿中其他
505,362.0,大学生主观幸福感的影响因素-基于家庭功能和共情能力正在撰写论文省市级
506,363.0,nannannan
507,364.0,AnimationMaster APP2019年5月 Animation Master队荣获第九届全国大学生电子商务“创新、创意及创业”挑战赛河北大学校选拔赛二等奖其他
508,364.0,优家2018年5月 《优家》荣获2018年“创青春”河北大学大学生创业大赛网络信息经济专项赛三等奖其他
509,364.0,《浅谈数字绘画技术对二维动画制作的影响》2018年8月 在《大众文艺》上发表文章《浅谈数字绘画技术对二维动画制作的影响》其他
510,364.0,《探讨当前研究媒体的大学生使用社交网络的利弊》2019年5月 在《速读》上发表文章《探讨当前研究媒体的大学生使用社交网络的利弊》其他
511,364.0,《浅论动画色彩的运用》2019年7月 在《戏剧之家》上发表《浅论动画色彩的运用》省市级
512,364.0,壁橱2019年3月 发明壁橱外观设计专利其他
513,364.0,浅谈数字绘画技术对二维动画制作的影响2018年8月 在《大众文艺》上发表文章《浅谈数字绘画技术对二维动画制作的影响》省市级
514,364.0,探讨当前研究媒体的大学生使用社交网络的利弊2019年5月 在《速读》上发表文章《探讨当前研究媒体的大学生使用社交网络的利弊》省市级
515,366.0,白洋淀流域社会经济情况调研村庄都有河流，但是环境都不是太哈奥，之前也存在污水排放，垃圾堆积的问题，现在开始处理，村民对环境问题不是太关注，但是有些人也是有意愿出钱出力保护环境。其他
516,366.0,京津冀协同发展带领小组成员撰写五千字的《保定白沟承接北京大红门批发市场产业疏解调研报告》 其他
517,366.0,调研白沟箱包交易中心和动批服饰广场上次我们调研的白沟大红门服装城是和道国际动批服饰广场的前身，管理的更加规范，经营状况比之前好了一些，但是目前是比不上商户之前在北京，而且很多都是本地的商户，依旧任重道远。和道国际箱包交易商户经营都很好，但比较排外，调研比较困难，但还是有商户配合才进行下去其他
518,367.0,nannannan
519,368.0,nannannan
520,369.0,nannannan
521,370.0,nannannan
522,371.0,“厨房小家电产品体验性的设计研究”未结题其他
523,372.0,互联网金融支持辽宁省小微企业融资问题研究已发表论文：《智富时代》??2019年第二期第67页 国内统一刊号：CN44—1709/F 国际标准刊号：ISSN1004—0447 邮发代号：46—96发表日期：2019年3月25日其他
524,373.0,nannannan
525,374.0,nannannan
526,375.0,nannannan
527,376.0,金昌市金川区花卉产业发展带动效应的调查分析完成项目结题论文，并于2019年4月在期刊《中国集体经济》发表《金昌市金川区花卉产业发展带动效应》论文一篇。其他
528,377.0,nannannan
529,378.0,雾霾防护治理调查研究作为项目助理，结束了初期的数据收集整理工作国家级
530,379.0,nannannan
531,380.0,nannannan
532,381.0,nannannan
533,382.0,《稻壳/聚乳酸可生物降解复合材料的制备及性能研究》《一种界面改性稻壳粉/聚乳酸可生物降解复合材料的制备方法》发明专利一项。目前专利已公布，处于实审阶段。省市级
534,383.0,第十五届“挑战杯”全国大学生课外学术科技作品竞赛获得国家三等奖国家级
535,383.0,第十三届“挑战杯”福建省大学生课外学术科技作品竞赛获得省级特等奖省市级
536,383.0,大学生创新创业训练计划项目“快速城镇化对行道树生境发表《快速城镇化背景下行道树的生境胁迫及其适应性设计》、《中国传统园林水石庭的历史演变、区域演化及现代演用》两篇期刊论文其他
537,383.0,发表论文5、台风灾害脆弱性评估的分析框架研究[J].福建师范大学学报(自然科学版)6、闽三角城市群生态安全动态评估[J].森林与环境学报7、山区贫困县贫困代际传递的特征与机制研究[J].福建师范大学学报(自然科学版)8、高温热浪对城市居民健身行为的影响——基于563份问卷调查分析[J]其他
538,384.0,nannannan
539,386.0,玉米酒精粕预处理及制备木材胶黏剂性能研究利用低成本的生物质原料开发出了可再生、环境友好型胶黏剂。国家级
540,386.0,纳米靶向壳聚糖-熊果酸药物载体的合成在期刊《精细与专用化学品》发表论文《靶向羧甲基壳聚糖-熊果酸纳米药物载体的制备及表征》。其他
541,387.0,荒漠草原不同植被区土壤生态化学计量特征报告一份其他
542,387.0,宁南山区坡改梯水土保持工程对黄土边坡稳定性的影响 结题报告，正在发表论文省市级
543,387.0,降雨入渗下的宁南山区黄土梯田稳定性及优化设计研究结题报告一份，正在发表论文一篇国家级
544,389.0,《清代道咸时期隰州粮价的研究》完成论文《清代道咸时期隰州粮价的研究》，成绩为优秀。其他
545,389.0,《这个共享不该冷——山西大学及周边共享单车遇冷问题完成论文《以山西大学为例看共享单车遇冷问题》其他
546,391.0,nannannan
547,392.0,江苏省古树名木时空分布与文化价值研究以第二作者的身份在期刊《江苏农业科学》公开发表题为《江苏省文化树种认知情况及园林应用》的学术论文。省市级
548,393.0,nannannan
549,394.0,nannannan
550,395.0,nannannan
551,396.0,nannannan
552,397.0, “汉乡蜀韵”中国传统蜀文化志愿传播实践团蜀绣、三星堆纹样装饰画、汉代画像砖拓稿、蜀文化周边（书签、挂坠、手机壳等）其他
553,397.0,顾?苏社会实践团暑期社会实践通过采访当地居民、制作纪录片向大家展示苏州40年来改革开放的变化；制作画册、传统苏绣周边来传播苏州当地文化其他
554,398.0,nannannan
555,399.0,2019年度大学生创新创业训练计划项目进行中省市级
556,400.0,nannannan
557,401.0,nannannan
558,402.0,中国汽车产业价值链升级研究作为助理研究员主要从事大型国有企业汽车数据的整理，创新性提出国产汽车价值链不同的分类方式，对民营企业自主品牌价值链升级情况总结，协助导师完成中外汽车价值链的对比，参与最后市场换技术成功与否的讨论。国家级
559,402.0,北京市科学研究与创业行动计划在《消费导刊》上发表4篇论文省市级
560,403.0,nannannan
561,404.0,nannannan
562,405.0,nannannan
563,406.0,nannannan
564,407.0,沉积物记录的中国西南地区过去2000年气候变化入选为北京高等学校高水平人才交叉培养“实培计划”大学生科研训练计划深化项目省市级
565,408.0,景观微气候对园林植物观赏物候期的影响完成了物候观测记录、测量数据、调查报告其他
566,408.0,微环境对居住区自生植物群落物种组成的影响毕业设计仍在进行中其他
567,408.0,保定市城乡规划设计院实习增加对园林专业的认识，同时于实践中锻炼学习了专业技能其他
568,409.0,nannannan
569,410.0,nannannan
570,411.0,nannannan
571,412.0,甲萘威水解动力学环境化学实验在云南化工发表一篇核心期刊省市级
572,413.0,透水铺装堵塞过程及不同清理方式效果实验研究1.	明确透水铺装的堵塞过程和最佳清理维护方法；2.	撰写并投稿科技论文一篇；3.	完成项目结题报告、总结汇报 PPT；4.	培育团队成员创新能力及科研素养。国家级
573,414.0,产业化扶贫背景下会计审计助推精准扶贫长效机制研究论文5篇，其中SCI检索1篇。《产业化扶贫背景下会计审计助推精准扶贫策略研究》；《纳税》。省市级
574,415.0,nannannan
575,416.0,nannannan
576,417.0,nannannan
577,419.0,nannannan
578,420.0,nannannan
579,421.0,香薰蜡进行创意开发获得“创青春”大学生创业大赛院级三等奖、“新思路”创意大赛校级三等奖。其他
580,421.0,山东省巨野县省级城市森林建设总体规划辅助老师完成规划，并顺利结题其他
581,421.0,尚景空中盆栽获第十一届“挑战杯”大学生创业计划竞赛金奖；“创青春”海尔山东省大学生创业大赛省市级
582,421.0,挑战杯之尚景空中盆栽获第十一届“挑战杯”大学生创业计划竞赛金奖其他
583,421.0,甲醛捕捉剂第五届山东农业大学“新生力”大学生科技创新大赛其他
584,421.0,挑战杯之甲醛捕捉剂第十六届“挑战杯”大学生课外学术科技作品竞赛三等奖其他
585,423.0,nannannan
586,424.0,nannannan
587,425.0,nannannan
588,426.0,河北省中医药产业数字化转型升级研究通过对河北省安国市在数字化药都建设进程中，促进中医药产业数字化转型中取得的成绩、存在的问题及相关原因的调查研究，总结河北省中医药产业数字化转型的模式与路径，并针对转型过程中存在的问题提出了针对性的对策建议。省市级
589,428.0,nannannan
590,429.0,nannannan
591,430.0,教育培训市场的逆向选择问题完成《教育培训市场的逆向选择问题》投稿于《南京师范大学教育科学报》（审核中）其他
592,431.0,nannannan
593,432.0,纳米靶向壳聚糖-熊果酸药物载体的合成2018年以第三发明人申请一项国家发明专利“一种基于羧甲基壳聚糖的新型水溶性靶向纳米药物载体及制备方法”；2019年在期刊《精细与专用化学品》以第一作者发表文章一篇《靶向羧甲基壳聚糖-熊果酸纳米药物载体的制备及表征》。其他
594,433.0,nannannan
595,434.0,2017年北京市大学生科学研究与创业行动计划在《产业与科技论坛》发表论文《中国股权众筹发展研究》省市级
596,434.0,2019年北京市大学生科学研究与创业行动计划在国际期刊《Journal of Simulation》发表论文《Study on the Influencing Factors of Collective Economic Development—Take Shijingshan District of Beijing as An Example》。同时，发表一项软件著作权《集体企业发展效率分析系统V1.0》。省市级
597,435.0,《传统金银器装饰图案的整理与设计应用》1、中国工艺美术史典型金银器专项学习资料库2、金银器装饰图案衍生的创新设计作品六件套3、项目研究报告其他
598,436.0,《工业+互联网+金融：思贝克转型供应链金融清华大学经济管理学院中国工商管理案例大赛三等奖国家级
